item,field,fresh,cached
KR6MD0007JH8,q_1,0.011351977716562517,0.00969222653657198
KR6KW0004NS8,q_1,0.011351977716562517,0.00969222653657198
KR6MD0007LT9,q_1,0.011351977716562517,0.00969222653657198
KR6KW0002VM8,q_2,0.024318573527674796,0.01696018874645233
KR6KW0002XD3,q_2,0.024318573527674796,0.01696018874645233
KR6KW0003YG2,q_2,0.05262006713039401,0.04438956826925278
KR6KW0003ZC8,q_2,0.05262006713039401,0.04438956826925278
KR6SY0003HL6,q_2,0.02820366382815445,0.022345416247844696
KR6SY0003JA5,q_2,0.05262006713039401,0.04438956826925278
KR6KW0004070,q_2,0.04125620028308472,0.029828837141394615
KR6SY0003JV1,q_2,0.02820366382815445,0.022345416247844696
KR6KW0004138,q_2,0.04125620028308472,0.029828837141394615
KR6SY0003K97,q_2,0.02820366382815445,0.022345416247844696
KR6KW0004237,q_2,0.04125620028308472,0.029828837141394615
KR6SY0003KL0,q_2,0.02820366382815445,0.022345416247844696
KR6SY0003KX5,q_2,0.02820366382815445,0.022345416247844696
KR6KW00042W8,q_2,0.04125620028308472,0.029828837141394615
KR6SY0003LF0,q_2,0.02820366382815445,0.022345416247844696
KR6KW00043N5,q_2,0.04125620028308472,0.029828837141394615
KR6SY0003LT1,q_2,0.02820366382815445,0.022345416247844696
KR6SY0003N03,q_2,0.05262006713039401,0.04438956826925278
KR6SY0003NH2,q_2,0.03275133742090319,0.025859510526061058
KR6SY0003PK1,q_2,0.05792890289891239,0.05099646747112274
KR6KW0004583,q_2,0.05792890289891239,0.05099646747112274
KR6SY0003Q34,q_2,0.03275133742090319,0.025859510526061058
KR6KW00047B1,q_2,0.05792890289891239,0.05099646747112274
KR6SY0003QK9,q_2,0.03275133742090319,0.025859510526061058
KR6KW00048D5,q_2,0.05792890289891239,0.05099646747112274
KR6KW00049C5,q_2,0.05792890289891239,0.05099646747112274
KR6SY0003R90,q_2,0.05792890289891239,0.05099646747112274
KR6SY0003RV4,q_2,0.05792890289891239,0.05099646747112274
KR6SY0003SB4,q_2,0.05792890289891239,0.05099646747112274
KR6SY0003VS2,q_2,0.06242516194689035,0.05467318370938301
KR6SY0003WA8,q_2,0.06242516194689035,0.05467318370938301
KR6KW0004JK3,q_2,0.06242516194689035,0.05467318370938301
KR6SY0003XT6,q_2,0.06242516194689035,0.05467318370938301
KR6KW0004K05,q_2,0.06242516194689035,0.05467318370938301
KR6SY0003Z66,q_2,0.06242516194689035,0.05467318370938301
KR6KW0004NS8,q_2,0.06242516194689035,0.05467318370938301
KR6KW0002VM8,n_div,36.0,33.0
KR6MD0005QG9,n_div,35.0,32.0
KR6MD0005R57,n_div,36.0,33.0
KR6KW0002WH6,n_div,27.0,24.0
KR6KW0002XC5,n_div,27.0,24.0
KR6KW0002XD3,n_div,36.0,33.0
KR6KW0003YG2,n_div,36.0,30.0
KR6KW0003ZC8,n_div,36.0,30.0
KR6KW0003ZB0,n_div,27.0,24.0
KR6MD0006SL3,n_div,36.0,33.0
KR6SY0003H50,n_div,27.0,24.0
KR6SY0003HL6,n_div,36.0,30.0
KR6SY0003JA5,n_div,36.0,30.0
KR6MD0006VE2,n_div,36.0,33.0
KR6KW0004062,n_div,36.0,33.0
KR6KW0004070,n_div,36.0,30.0
KR6SY0003JV1,n_div,36.0,30.0
KR6KW0004138,n_div,36.0,30.0
KR6SY0003K97,n_div,36.0,30.0
KR6KW0004120,n_div,36.0,33.0
KR6MD0006WC4,n_div,36.0,33.0
KR6KW0004237,n_div,36.0,30.0
KR6KW0004229,n_div,36.0,33.0
KR6SY0003KL0,n_div,36.0,30.0
KR6MD0006YA4,n_div,36.0,33.0
KR6SY0003KX5,n_div,36.0,30.0
KR6KW00042W8,n_div,36.0,30.0
KR6KW00042V0,n_div,36.0,33.0
KR6MD0006Z72,n_div,35.0,32.0
KR6SY0003LF0,n_div,35.0,29.0
KR6KW00043M7,n_div,36.0,33.0
KR6KW00043N5,n_div,36.0,30.0
KR6MD0006ZW5,n_div,36.0,33.0
KR6SY0003LT1,n_div,36.0,30.0
KR6MD00070N9,n_div,36.0,33.0
KR6SY0003N03,n_div,36.0,30.0
KR6SY0003NH2,n_div,36.0,30.0
KR6SS0006XW5,n_div,27.0,24.0
KR6KW00044G7,n_div,36.0,33.0
KR6KW00044H5,n_div,36.0,33.0
KR6SY0003PK1,n_div,36.0,30.0
KR6KW0004583,n_div,36.0,30.0
KR6KW0004591,n_div,36.0,33.0
KR6SY0003Q34,n_div,36.0,30.0
KR6MD00072C8,n_div,36.0,33.0
KR6KW00046C1,n_div,37.0,34.0
KR6KW00046D9,n_div,37.0,34.0
KR6MD00073D4,n_div,36.0,33.0
KR6KW00047A3,n_div,38.0,34.0
KR6KW00047B1,n_div,38.0,30.0
KR6KW00048C7,n_div,36.0,33.0
KR6SY0003QK9,n_div,36.0,30.0
KR6KW00048D5,n_div,36.0,30.0
KR6MD0007566,n_div,36.0,33.0
KR6KW00049B7,n_div,36.0,33.0
KR6KW00049C5,n_div,36.0,30.0
KR6SY0003R90,n_div,36.0,30.0
KR6MD00077G8,n_div,36.0,33.0
KR6KW0004BB9,n_div,36.0,33.0
KR6SY0003RV4,n_div,36.0,30.0
KR6KW0004C96,n_div,36.0,33.0
KR6SY0003SB4,n_div,36.0,30.0
KR6MD0007905,n_div,36.0,33.0
KR6KW0004D46,n_div,36.0,33.0
KR6KW0004EA5,n_div,27.0,24.0
KR6SY0003VS2,n_div,36.0,30.0
KR6MD0007BP8,n_div,36.0,33.0
KR6KW0004FB0,n_div,36.0,33.0
KR6SY0003WA8,n_div,36.0,30.0
KR6KW0004GA0,n_div,36.0,33.0
KR6KW0004H83,n_div,36.0,33.0
KR6MD0007E84,n_div,36.0,33.0
KR6KW0004JK3,n_div,36.0,30.0
KR6SY0003XT6,n_div,36.0,30.0
KR6KW0004K05,n_div,36.0,30.0
KR6MD0007FW5,n_div,36.0,33.0
KR6SY0003Z66,n_div,36.0,30.0
KR6MD0007JH8,n_div,35.0,32.0
KR6KW0004NS8,n_div,36.0,30.0
KR6MD0007LT9,n_div,36.0,33.0
